Date & Hour;Open;High;Low;Close;Volume
2022-11-28 19:00:00;2.7500;2.7500;2.7500;2.7500;100
2022-11-28 18:00:00;2.7100;2.7100;2.7000;2.7000;4300
2022-11-28 16:00:00;2.7000;2.7000;2.7000;2.7000;107810
2022-11-28 15:00:00;2.7350;2.7400;2.7000;2.7100;411869
2022-11-28 14:00:00;2.7450;2.7550;2.7300;2.7350;49749
2022-11-28 13:00:00;2.7600;2.7700;2.7300;2.7400;129736
2022-11-28 12:00:00;2.7700;2.8200;2.7600;2.7600;90592
2022-11-28 11:00:00;2.7700;2.7750;2.7500;2.7650;87982
2022-11-28 10:00:00;2.8300;2.8550;2.7550;2.7650;140621
2022-11-28 09:00:00;2.7400;2.9500;2.7400;2.8400;141363
2022-11-28 08:00:00;2.7400;2.7410;2.7400;2.7410;4687
2022-11-25 15:00:00;2.7800;2.7800;2.7800;2.7800;143
2022-11-25 14:00:00;2.8100;2.8100;2.8100;2.8100;100
2022-11-25 13:00:00;2.8600;2.8600;2.7410;2.8090;56359
2022-11-25 12:00:00;2.8400;2.8600;2.8300;2.8400;200530
2022-11-25 11:00:00;2.8200;2.8400;2.8100;2.8400;35479
2022-11-25 10:00:00;2.8100;2.8450;2.8000;2.8200;118102
2022-11-25 09:00:00;2.7500;2.8400;2.7250;2.8100;113333
2022-11-23 19:00:00;2.7900;2.7900;2.7800;2.7800;2250
2022-11-23 17:00:00;2.7730;2.7730;2.7700;2.7700;200
2022-11-23 16:00:00;2.8200;2.8200;2.7800;2.8200;163379
2022-11-23 15:00:00;2.8250;2.8500;2.8000;2.8200;229924
2022-11-23 14:00:00;2.8100;2.8400;2.7900;2.8250;116640
2022-11-23 13:00:00;2.7150;2.8050;2.7100;2.8050;174196
2022-11-23 12:00:00;2.7250;2.7400;2.6900;2.7150;201829
2022-11-23 11:00:00;2.8050;2.8100;2.7200;2.7250;153289
2022-11-23 10:00:00;2.8030;2.8150;2.7400;2.8050;195872
2022-11-23 09:00:00;2.7800;2.8300;2.7350;2.8000;132692
2022-11-23 08:00:00;2.8500;2.8500;2.8470;2.8470;675
2022-11-23 06:00:00;2.7000;2.7000;2.6700;2.6700;275
2022-11-22 19:00:00;2.7900;2.7900;2.7900;2.7900;840
2022-11-22 16:00:00;2.7600;2.7900;2.7600;2.7900;161834
2022-11-22 15:00:00;2.7400;2.7800;2.7300;2.7700;360190
2022-11-22 14:00:00;2.7500;2.7580;2.7100;2.7350;185571
2022-11-22 13:00:00;2.7100;2.7700;2.7000;2.7500;235111
2022-11-22 12:00:00;2.7000;2.7200;2.6900;2.7050;123067
2022-11-22 11:00:00;2.6550;2.7100;2.6400;2.7000;169144
2022-11-22 10:00:00;2.6050;2.7100;2.6050;2.6550;189730
2022-11-22 09:00:00;2.7200;2.7200;2.5750;2.6100;164303
2022-11-21 17:00:00;2.7400;2.7400;2.7400;2.7400;101
2022-11-21 16:00:00;2.7000;2.7180;2.7000;2.7180;116991
2022-11-21 15:00:00;2.6350;2.7200;2.6300;2.7100;609189
2022-11-21 14:00:00;2.6200;2.6400;2.6200;2.6350;169109
2022-11-21 13:00:00;2.5850;2.6400;2.5850;2.6200;98892
2022-11-21 12:00:00;2.5950;2.6350;2.5850;2.5900;136667
2022-11-21 11:00:00;2.5950;2.6100;2.5650;2.6000;183279
2022-11-21 10:00:00;2.6200;2.6250;2.5700;2.5950;269186
2022-11-21 09:00:00;2.7600;2.7700;2.6200;2.6200;386139
2022-11-21 08:00:00;2.7510;2.7510;2.7520;2.7510;117
2022-11-18 19:00:00;2.8600;2.8600;2.7600;2.7600;400
2022-11-18 17:00:00;2.7600;2.7600;2.7600;2.7600;100
2022-11-18 16:00:00;2.8000;2.8000;2.8000;2.8000;171263
2022-11-18 15:00:00;2.7750;2.8300;2.7750;2.8000;438525
2022-11-18 14:00:00;2.8250;2.8300;2.7600;2.7750;324740
2022-11-18 13:00:00;2.8450;2.8800;2.8100;2.8200;181665
2022-11-18 12:00:00;2.8400;2.8700;2.8200;2.8450;179819
2022-11-18 11:00:00;2.8600;2.8700;2.8300;2.8500;153999
2022-11-18 10:00:00;2.9550;2.9850;2.8400;2.8500;299946
2022-11-18 09:00:00;3.0000;3.0450;2.8400;2.9550;376452
2022-11-17 18:00:00;2.9300;2.9300;2.9300;2.9300;499
2022-11-17 16:00:00;2.9500;2.9500;2.9300;2.9300;129057
2022-11-17 15:00:00;2.9700;2.9770;2.9200;2.9400;311283
2022-11-17 14:00:00;2.9750;2.9900;2.9300;2.9750;198709
2022-11-17 13:00:00;2.9450;2.9900;2.9450;2.9750;211407
2022-11-17 12:00:00;2.8850;2.9500;2.8700;2.9410;197720
2022-11-17 11:00:00;2.8850;2.9200;2.8400;2.8850;466204
2022-11-17 10:00:00;2.8910;2.9600;2.8800;2.8800;356511
2022-11-17 09:00:00;3.0400;3.0400;2.8900;2.8950;399129
2022-11-17 08:00:00;3.0000;3.0600;2.9600;3.0600;800
2022-11-17 07:00:00;2.9700;3.0000;2.9500;3.0000;875
2022-11-17 05:00:00;2.9700;2.9700;2.9700;2.9700;170
2022-11-17 04:00:00;3.0700;3.0700;3.0700;3.0700;340
2022-11-16 18:00:00;3.1100;3.1100;3.0600;3.0600;450
2022-11-16 16:00:00;3.0700;3.1400;3.0510;3.0900;159596
2022-11-16 15:00:00;3.0950;3.1000;3.0600;3.0650;525077
2022-11-16 14:00:00;3.0950;3.1100;3.0810;3.0950;123088
